,channelId,channelName,desc,id,videoTitle
0,UC16niRr50-MSBwiO3YDb3RA,BBC News,"For more than two and a half months, hundreds of thousands of farmers in India have been protesting against new agricultural laws passed last year. They've ...",gRW_O9KjqWY,Farmer protests: India&#39;s sedition law used to muffle dissent - BBC News
1,UCaf0wu3R1I6MdXG_upOk2vw,The News,"Join this channel to get access to perks: https://www.youtube.com/channel/UCaf0wu3R1I6MdXG_upOk2vw/join Like, Comment & Share Subscribe Our Youtube ...",1FoyhyTRlm4,Modi govt Big action Farmers Protest runs out of funds! Langar has stopped tents are moving out
2,UCLXo7UDZvByw2ixzpQCufnA,Vox,"Thousands of India's farmers have set up camp in Delhi. Subscribe to our channel! http://goo.gl/0bsAjO In November 2020, thousands of farmers marched from ...",iHpZV7ro7lU,"India&#39;s huge farmer protests, explained"
3,UCwWhs_6x42TyRM4Wstoq8HA,The Daily Show with Trevor Noah,Tens of thousands of farmers are taking to the streets of New Delhi to call for the repeal of India's contentious new agriculture laws. #DailyShow #TrevorNoah ...,w5mnuCHyYaY,"Indian Farmer Protests - If You Don’t Know, Now You Know | The Daily Social Distancing Show"
4,UCGaOkbpMXx4j07kxQYpxFDA,CAPITAL TV,Rakesh Tikait's Rail Roko Abhiyan Was Super Flop Show. Bharatiya Kisan Union (BKU) spokesperson Rakesh Tikait on Thursday assured that the farmers ...,dZoJvlNUvl0,Is Farmer Protest Practically Dead? | Dr. Manish Kumar | Black And White | Capital TV
5,UCoMdktPbSTixAyNGwb-UYkQ,Sky News,"Farmers in the state of Punjab in India have continued their protests in the capital Delhi, leaving their fields, families and crops to raise their voices against new ...",Ea9nrvPHn8k,#FarmersProtests in India remain strong after 70 days
6,UC16niRr50-MSBwiO3YDb3RA,BBC News,"In India, tens of thousands of farmers are continuing to protest government laws they fear will drive them out of business. The government says the reforms, ...",0BMIioWnR4s,Indian farmer: &#39;Why I&#39;m protesting&#39; - BBC News
7,UCZFMm1mMw0F81Z37aaEzTUA,NDTV,The crowd of farmers is thinning around Delhi borders at Ghazipur and Singhu as the protest against the Centre's new farm laws entered its 84th day with no ...,rTHnQs9QaCo,Farmer Protests Against Centre&#39;s Farm Laws Enters 84th Day | Prime Time
8,UCknLrEdhRCp1aegoMqRaCZg,DW News,"The Indian government has invited leaders of farm groups protesting newly enacted agricultural laws near the capital city of New Delhi for talks on Tuesday, two ...",LjS6TcZu94E,Farmers&#39; protests in India intensify | DW News
9,UCS96EfLJMmVjh9--18l8KPA,CTV Comedy Channel,"Indian farmers engage in massive protests against new agricultural laws that pose a serious threat to their livelihoods, leading to escalating violence and a ...",67w7HpnrRZA,"If You Don&#39;t Know, Now You Know - India&#39;s Farmer Protest | The Daily Social Distancing Show"
10,UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,Farmers' protests in India keep growing despite Prime Minister Narendra Modi's government's best efforts to contain the reporting. Contributors: Hartosh Singh ...,8rgyaMFrGQo,"India&#39;s farmer protests: Grabbing the headlines, taking a stand | The Listening Post"
11,UCdbeep4P2J9JErLw5cG0GJA,Arun Surya Teja,The Indian farm reforms of 2020 refer to three agricultural bills passed by the Parliament of India on 27 September 2020. The bills collectively seek to provide ...,VwFCGG-fsMM,Farm Bills And Farmers Protests Explained
12,UC16niRr50-MSBwiO3YDb3RA,BBC News,"For nearly two weeks, farmers from across India have been protesting at the Delhi border against new market-friendly reforms that they say are against their ...",UjIDN5JX-sY,India farmers protests: &#39;Delhi highways are our home for now&#39; - BBC News
13,UChLtXXpo4Ge1ReTEboVvTDg,Global News,"India summoned Canada's ambassador on Friday, saying comments made by Prime Minister Justin Trudeau regarding the protests by farmers near Delhi were ...",B9EaSF6Y0eE,India farmer protests: Trudeau says Canada will &quot;always stand up&quot; for peaceful protests
14,UC16niRr50-MSBwiO3YDb3RA,BBC News,Thousands of farmers protesting at agriculture reforms have fought through police barricades and tear gas to enter Delhi's historic Red Fort complex. They were ...,CtWUptbXroo,India farmers protest turn violent - BBC News
15,UCm7lHFkt2yB_WzL67aruVBQ,Hindustan Times,Prime Minister Narendra Modi lashed out at the opposition parties after releasing Rupees 18000 crore to over 9 crore farmers under the PM KISAN scheme.,tjiTaOgitwQ,‘Farmers being misled for political reasons’: PM Modi on farmer protests
16,UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,Police in the Indian capital have stopped demonstrations in support of farmers. Hundreds of thousands of farmers are occupying roads around New Delhi in ...,EfrUmSrJlFU,India: Police stop protesters from backing farmers
17,UCZaT_X_mc0BI-djXOlfhqWQ,VICE News,"Farmers and workers around the world are protesting against India's neo-liberal farm reforms that could change the way farming is done there, forever.",xMcBDrEfK1c,The Indian Farmer Protest Shaking the World
18,UCQfwfsi5VrQ8yKZ-UWmAEFg,FRANCE 24 English,It took just one tweet from #Rihanna to anger the Indian government and supporters of Prime Minister Narendra #Modi's party. The pop star linked a news article ...,_j8dmD0BooI,1 tweet from Rihanna on farmer protests gets India incensed
19,UC16niRr50-MSBwiO3YDb3RA,BBC News,"Farmers from India's Punjab state have begun entering Delhi to protest reforms they say are against their interests. Thousands of them marched to Delhi, where ...",3nskU3BoGtc,Farmers protest: Indian farmers clash with police - BBC News
20,UCQPss_g3Iak_a0PmvrGvH8w,BBC My World,"For months, farmers in India have been protesting against new laws introduced by the government. Protesters have set up camp around the capital Delhi as they ...",_W1KN2IhowM,Indian farmer protests EXPLAINED - BBC My World
21,UCJEDFSxHHOW1PpBccdSxOTA,IndianExpressOnline,"Undeterred by water cannons, blockades and freezing temperatures, thousands of farmers from Punjab and Haryana are marching towards the national capital ...",2EfsbdcyrZ8,"Explained: Despite water cannons and tear gas, why is Punjab farmer protests still raging"
22,UChLtXXpo4Ge1ReTEboVvTDg,Global News,"Clashes broke out on Friday between protesting Indian farmers and a group of men shouting anti-farmer and pro-police slogans, and authorities used tear gas ...",4qAcv5HAcco,"India farmer protests: Police use batons, tear gas to break up new scuffles"
23,UCjFKMoAk3qhRkW4eOqNm6dw,Zee Hindustan,Farmer Protest : Rakesh Tikait के महापंचायत पर लगा Corona का ग्रहण | Kisan Andolan | Kisan Neta #FarmerProtest #KisanAndolan #RakeshTikait ...,xL3O683Ntlo,Farmer Protest : Rakesh Tikait के महापंचायत पर लगा Corona का ग्रहण | Kisan Andolan | Kisan Neta
24,UCPgLNge0xqQHWM5B5EFH9Cg,The Telegraph,Thousands of Indian farmers protesting against agricultural reforms breached barricades on Tuesday to enter the historic Red Fort complex in New Delhi.,KMOckqlyRZ0,India: Farmers race tractors and storm Delhi&#39;s Red Fort during protests against agricultural reforms
25,UCvm8V4Dwtz0fbPGbpk7RYAg,BBC News اردو,پاکستان کے صوبہ پنجاب سے تعلق رکھنے والے کئی گلوکاروں کے گانے انڈیا میں کسانوں کے احتجاج کے دوران بے حد مقبول ہوئے۔ اس ویڈیو میں ہم آپ کو ملوا رہے ...,cqZ1C0bWwes,Farmer Protest: Pakistani songs that became popular during protests in India - BBC URDU
26,UC83jt4dlz1Gjl58fzQrrKZg,CNA,"Thousands of Indian farmers have ended a protest on railway tracks, which disrupted services for hours. Thousands of security forces were deployed at railroad ...",Cvqxr896N5k,"Indian farmers protest on railway tracks, disrupting train services for hours"
27,UCj7wKsOBhRD9Jy4yahkMRMw,CGTN America,India's Prime Minister Narendra Modi facing the largest demonstrations since he came to power. We will take a look at the protests by thousands of farmers in the ...,dOskUCCQ-FU,The Heat: Farmers protest in India
28,UC16niRr50-MSBwiO3YDb3RA,BBC News,"Farmers and their families have been protesting in India for months, camped out in Delhi demonstrating over the government's new farm laws which they think ...",F8pCObFsXcc,Why are farmers protesting in India? - BBC Newsnight
29,UChWtJey46brNr7qHQpN6KLQ,The Wire,The ongoing farmers' protests have attracted various shades of opinion since they began last year. Farmers have received an outpouring of support from across ...,VY_bjqRVPeo,Where Do Delhiites Stand on The Farmers’ Protests I Delhi I Farm Laws I Farmer Protest
30,UCustbySVJGb659WDpdkeATg,newslaundry,"In the last two months, the #farmers protesting against the new #farmlaws at Delhi's borders have engaged in 10 rounds of talks with the government. All 10 ...",ony8sZliQhk,"Explained: Two months on, what’s happening at the farmer protests?"
31,UChLtXXpo4Ge1ReTEboVvTDg,Global News,"Indian farmers' leaders on Wednesday outlined plans to scale up months of protests against agricultural reforms, as their cause gained high-profile supporters ...",S1hnvF93hC4,India farmers to scale up protests as police erect barricades in Delhi
32,UCZaT_X_mc0BI-djXOlfhqWQ,VICE News,India's farmer protest went worldwide thanks to women. Subscribe to VICE News here: http://bit.ly/Subscribe-to-VICE-News Check out VICE News for more: ...,knMUaiBiw4U,The Women Behind the Indian Farmers Protest
33,UCVSNOxehfALut52NbkfRBaA,VOA News,"Thousands of Indian farmers clashed with police, Friday, November 27, as the farmers continued to march towards New Delhi in protest of new farming laws.",WgKLHO4zLjY,Protesting Indian Farmers Clash With Police En Route to New Delhi
34,UC9CYT9gSNLevX5ey2_6CK0Q,NDTV India,Farmers Protest: कृषि कानूनों के खिलाफ किसानों के आंदोलन (Farmers Protest) के बीच केंद्रीय कृषि मंत्री नरेंद्र सिंह तोमर ने ...,Xu_M6eC7pi8,Farmers Protest: किसानों से बातचीत के लिए सरकार तैयार - NDTV से बोले कृषि मंत्री Narendra Tomar
35,UC98nIydWtpUKr5Ls_d67Y2Q,AR News India,KisanAndolan #FarmersProtest Story by- AR News India Reporter- Aqil Raza Camera- Imtiyaz Hussain Editor- Manoj Kumar Follow on Twitter- ...,EeZb_d7KUpw,Farmer&#39;s Protests| Kisan Andolan| Ghazipur Border Farmer&#39;s Protest
36,UCZFMm1mMw0F81Z37aaEzTUA,NDTV,The crowd of farmers is thinning around Delhi borders at Ghazipur and Singhu as the protest against the Centre's new farm laws entered its 83rd day with no ...,NH6UFl48S2g,Farmers Protest: Crowds Thin Out At Delhi Borders As Farmers Plan New Strategy
37,UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,Supporters of India's governing party BJP are being accused of stoking violence towards protesting farmers. The internet has been blocked in much of the state ...,-AaM8eYPlW0,India’s Haryana state blocks internet amid farmer protest clashes
38,UCn4sPeUomNGIr26bElVdDYg,NowThis News,"For more world news, subscribe to NowThis News. #FarmersProtest #Rihanna #GretaThunberg #Politics #News #NowThis Connect with NowThis » Like us on ...",NTRA0eper_0,Rihanna and Greta Thunberg Tweet About Indian Farmer Protests
39,UCZFMm1mMw0F81Z37aaEzTUA,NDTV,Over 265 farmers' groups took to the streets today to block roads and carry out rallies and marches in a nationwide agitation against the controversial farm bills.,pi_a8hjbh2g,"Massive Farmer Protests In Punjab, Haryana, Parts Of UP Over 3 Bills"
40,UCZFMm1mMw0F81Z37aaEzTUA,NDTV,"Haryana Farmers Protest: Farmers in Haryana have stepped up their protest against three new agriculture bills, which were tabled in Rajya Sabha this morning.",rcx3XQu-NS4,Haryana Farmers Block Roads In Protest Against New Farm Bills
